dataset,DOI,AuthorYear,SDG_theme,ancillary,classification_type,indices,RS_spatital_resolution_m,model_group,Confusion_matrix,RS_device_group,RS_device_type,Publication.Year,number_classes,fraction_majority_class,total,OA_reported,globalCitationsCount,RS_spatital_res_grouped,journal,
nina_2024,10.3390/su142416687,Aja et al. 2022,SDG 15: Life on Land,0,Pixel-level,1,Not Reported,Tree-Based Models,1,Landsat,Passive,2022,4,0.5542522,1705,0.968,4,Not Reported,TO_DO,
nina_2024,10.3390/su142416687,Aja et al. 2022,SDG 15: Life on Land,0,Pixel-level,0,25,Tree-Based Models,1,Other,Active,2022,4,0.5542522,1705,0.966,4,15-25,TO_DO,
nina_2024,10.3390/su142416687,Aja et al. 2022,SDG 15: Life on Land,0,Pixel-level,1,Not Reported,Tree-Based Models,1,Other,Combined,2022,4,0.5542522,1705,0.996,4,Not Reported,TO_DO,
nina_2024,10.3390/su142416687,Aja et al. 2022,SDG 15: Life on Land,0,Pixel-level,1,Not Reported,Tree-Based Models,1,Landsat,Passive,2022,4,0.5542522,1705,0.989,4,Not Reported,TO_DO,
nina_2024,10.3390/su142416687,Aja et al. 2022,SDG 15: Life on Land,0,Pixel-level,0,25,Tree-Based Models,1,Sentinel,Active,2022,4,0.5542522,1705,0.846,4,15-25,TO_DO,
nina_2024,10.3390/su142416687,Aja et al. 2022,SDG 15: Life on Land,0,Pixel-level,1,Not Reported,Tree-Based Models,1,Other,Combined,2022,4,0.5542522,1705,0.991,4,Not Reported,TO_DO,
nina_2024,10.3390/rs11050601,Pareeth et al. 2019,SDG 2: Zero Hunger,0,Object-level,0,15,Tree-Based Models,0,Landsat,Passive,2019,7,0.74391797,16725.5,0.872,31,15-25,TO_DO,
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,SDG 15: Life on Land,1,Pixel-level,1,20,Tree-Based Models,1,Sentinel,Passive,2021,3,0.5702275,2022,0.872,18,15-25,TO_DO,
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,SDG 15: Life on Land,1,Pixel-level,1,20,Tree-Based Models,1,Sentinel,Passive,2021,12,0.36387435,1146,0.676,18,15-25,TO_DO,
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,SDG 15: Life on Land,1,Pixel-level,1,20,Tree-Based Models,1,Sentinel,Passive,2021,12,0.88664596,644,0.915,18,15-25,TO_DO,
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,SDG 15: Life on Land,1,Pixel-level,1,20,Tree-Based Models,1,Sentinel,Passive,2021,12,0.21943574,319,0.762,18,15-25,TO_DO,
nina_2024,10.3390/rs13091666,Mashaba-Munghemezulu et al. 2021,SDG 2: Zero Hunger,0,Pixel-level,0,10,Other,1,Landsat,Active,2021,2,0.70422111,73014,0.971,12,10,TO_DO,
nina_2024,10.3390/rs13091666,Mashaba-Munghemezulu et al. 2021,SDG 2: Zero Hunger,0,Pixel-level,0,10,Tree-Based Models,1,Landsat,Active,2021,2,0.72718787,73014,0.968,12,10,TO_DO,
nina_2024,10.3390/rs15102522,Fagua et al. 2023,SDG 15: Life on Land,1,Pixel-level,1,10,Tree-Based Models,0,Sentinel,Combined,2023,8,0.51,14850,0.81,2,10,TO_DO,
nina_2024,10.3390/rs15102522,Fagua et al. 2023,SDG 15: Life on Land,1,Pixel-level,1,10,Tree-Based Models,0,Sentinel,Combined,2023,10,0.43,14850,0.73,2,10,TO_DO,
nina_2024,10.1016/j.ifacol.2019.12.511,Tao et al. 2019,SDG 2: Zero Hunger,0,Pixel-level,1,30,Neural Networks,0,Landsat,Passive,2019,2,0.7538,761337,0.93,4,30,TO_DO,
nina_2024,10.1016/j.ifacol.2019.12.511,Tao et al. 2019,SDG 2: Zero Hunger,0,Pixel-level,1,30,Other,0,Landsat,Passive,2019,2,0.7538,761337,0.92,4,30,TO_DO,
nina_2024,10.1016/j.ifacol.2019.12.511,Tao et al. 2019,SDG 2: Zero Hunger,0,Pixel-level,1,30,Other,0,Landsat,Passive,2019,2,0.7538,761337,0.9,4,30,TO_DO,
nina_2024,10.1016/j.rsase.2020.100287,Shaharum et al. 2020,SDG 2: Zero Hunger,0,Unclear,1,30,Other,0,Landsat,Passive,2020,7,0.25460455,1846,0.9316,52,30,TO_DO,
nina_2024,10.1016/j.rsase.2020.100287,Shaharum et al. 2020,SDG 2: Zero Hunger,0,Unclear,1,30,Tree-Based Models,0,Landsat,Passive,2020,7,0.25460455,1846,0.865,52,30,TO_DO,
nina_2024,10.1016/j.rsase.2020.100287,Shaharum et al. 2020,SDG 2: Zero Hunger,0,Unclear,1,30,Tree-Based Models,0,Landsat,Passive,2020,7,0.25460455,1846,0.8008,52,30,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.601,70572,0.896,39,15-25,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.665,59643,0.855,39,15-25,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.613,82606,0.796,39,15-25,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.717,427796,0.82,39,15-25,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.543,92248,0.776,39,15-25,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.859,34740,0.899,39,15-25,TO_DO,
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,SDG 11: Sustainable Cities and Communities,1,Pixel-level,1,20,Tree-Based Models,1,Not Reported,Not Reported,2018,2,0.614,54162,0.903,39,15-25,TO_DO,
nina_2024,10.1016/j.egyr.2022.03.039,Xia et al. 2022,SDG 11: Sustainable Cities and Communities,0,Object-level,1,30,Tree-Based Models,1,Landsat,Passive,2022,2,0.5,400,0.928,38,30,TO_DO,
nina_2024,10.1016/j.egyr.2022.03.039,Xia et al. 2022,SDG 11: Sustainable Cities and Communities,0,Object-level,1,30,Tree-Based Models,1,Landsat,Passive,2022,2,0.5,400,0.918,38,30,TO_DO,
nina_2024,10.1016/j.jag.2022.102804,Li et al. 2022,SDG 15: Life on Land,0,Object-level,0,10,Neural Networks,0,Sentinel,Passive,2022,12,0.14166667,1200,0.73,9,10,TO_DO,
nina_2024,10.1016/j.jag.2022.102804,Li et al. 2022,SDG 15: Life on Land,1,Object-level,0,10,Neural Networks,0,Sentinel,Passive,2022,12,0.14166667,1200,0.7483,9,10,TO_DO,
nina_2024,10.1016/j.scib.2023.05.004,Jia et al. 2023,SDG 15: Life on Land,0,Object-level,1,10,Tree-Based Models,0,Sentinel,Passive,2023,2,0.73514589,81947,0.952,68,10,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.2807349,59818,0.6504,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.4889331,59818,0.7056,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.26490354,59818,0.6883,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.27822729,59818,0.7014,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.2807349,59818,0.673,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.29807081,59818,0.7072,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,SDG 15: Life on Land,0,Pixel-level,0,Not Reported,Tree-Based Models,1,Other,Active,2023,5,0.29345682,59818,0.7005,4,Not Reported,TO_DO,
nina_2024,10.1016/j.rse.2023.113793,Wang et al. 2023,SDG 15: Life on Land,1,Object-level,1,10,Tree-Based Models,0,Sentinel,Combined,2023,13,0.71065114,41742,0.8874,12,10,TO_DO,
nina_2024,10.1016/j.ejrs.2023.05.003,Al-Dousari et al. 2023,SDG 11: Sustainable Cities and Communities,0,Object-level,0,Not Reported,Tree-Based Models,NA,Sentinel,Passive,2023,4,0.47,862,0.936,11,Not Reported,TO_DO,
nina_2024,10.1016/j.ejrs.2023.05.003,Al-Dousari et al. 2023,SDG 11: Sustainable Cities and Communities,0,Object-level,0,Not Reported,Tree-Based Models,NA,Sentinel,Passive,2023,4,0.53,862,0.953,11,Not Reported,TO_DO,
nina_2024,10.1016/j.marpolbul.2022.113901,Peng et al. 2022,SDG 2: Zero Hunger,0,Unclear,1,10,Tree-Based Models,0,Sentinel,Passive,2022,2,0.61904762,882,0.83,21,10,TO_DO,
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,SDG 15: Life on Land,0,Pixel-level,1,10,Neural Networks,1,Sentinel,Passive,2023,3,0.98755568,3211264,0.99,8,10,TO_DO,
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,SDG 15: Life on Land,0,Pixel-level,1,10,Neural Networks,1,Sentinel,Passive,2023,3,0.98755568,3211264,0.98,8,10,TO_DO,
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,SDG 15: Life on Land,0,Pixel-level,1,10,Neural Networks,1,Sentinel,Combined,2023,3,0.98755568,3211264,0.99,8,10,TO_DO,
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,SDG 15: Life on Land,0,Pixel-level,1,10,Other,1,Sentinel,Combined,2023,3,0.98755568,3211264,0.95,8,10,TO_DO,
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,SDG 15: Life on Land,0,Pixel-level,1,10,Other,1,Sentinel,Passive,2023,3,0.98755568,3211264,0.95,8,10,TO_DO,
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,SDG 15: Life on Land,0,Object-level,1,10,Neural Networks,1,Sentinel,Passive,2023,3,0.75,404,0.97,8,10,TO_DO,
nina_2024,10.1016/j.procs.2021.12.201,Suryono et al. 2022,SDG 2: Zero Hunger,0,Object-level,1,15,Tree-Based Models,1,Landsat,Passive,2022,6,0.31274131,259,0.8146,10,15-25,TO_DO,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.5,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.8534,NA,>1,TO_DO,
